issue_id,issue_name,when,action,what,user,milestone_id,milestone,description,milestone_user,ctime,dtime,closetime,status
15,Second level prototyping (due 13FEB),2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
15,Second level prototyping (due 13FEB),2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
15,Second level prototyping (due 13FEB),2017-02-15T17:26:28Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
28,"[ Tam - 1 day ] Wrap up simulation (back up database, basic tests, etc)",2017-02-09T14:53:10Z,converted_note_to_issue,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
28,"[ Tam - 1 day ] Wrap up simulation (back up database, basic tests, etc)",2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
28,"[ Tam - 1 day ] Wrap up simulation (back up database, basic tests, etc)",2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
28,"[ Tam - 1 day ] Wrap up simulation (back up database, basic tests, etc)",2017-02-12T16:53:51Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-01-31T02:30:00Z,renamed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-01-31T02:35:41Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-02-07T18:43:35Z,mentioned,,user4,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-02-07T18:43:35Z,subscribed,,user4,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-02-07T18:43:35Z,subscribed,,user5,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-02-07T18:43:35Z,mentioned,,user5,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
14,First level prototyping (due 06FEB),2017-02-11T18:55:57Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
19,Weekly meeting on Feb 6 at 3 p.m. (Room 2323 in Hunt library),2017-02-04T14:36:29Z,closed,,user3
19,Weekly meeting on Feb 6 at 3 p.m. (Room 2323 in Hunt library),2017-02-04T14:59:07Z,reopened,,user1
